,close,datetime,high,low,open,volume
332,219.8,1540443600000,221.38,216.75,217.71,29855768
333,216.3,1540530000000,220.19,212.67,215.9,47258375
334,212.24,1540789200000,219.69,206.09,219.19,45935520
335,213.3,1540875600000,215.18,209.27,211.15,36659990
336,218.86,1540962000000,220.45,216.62,216.88,38358933
337,222.22,1541048400000,222.36,216.81,219.05,58323180
338,207.48,1541134800000,213.65,205.43,209.55,91289767
339,201.59,1541397600000,204.39,198.17,204.3,66163669
340,203.77,1541484000000,204.72,201.69,201.92,31882881
341,209.95,1541570400000,210.06,204.13,205.97,33424434
342,208.49,1541656800000,210.12,206.75,209.98,25362636
343,204.47,1541743200000,206.01,202.25,205.55,34365750
344,194.17,1542002400000,199.85,193.79,199.0,51135518
345,192.23,1542088800000,197.18,191.4501,191.63,46882936
346,186.8,1542175200000,194.48,185.93,193.9,60800957
347,191.41,1542261600000,191.97,186.9,188.39,46478801
348,193.53,1542348000000,194.9695,189.46,190.5,36928253
349,185.86,1542607200000,190.7,184.99,190.0,41920872
350,176.98,1542693600000,181.47,175.51,178.37,67825247
351,176.78,1542780000000,180.27,176.55,179.73,31124210
352,172.29,1542952800000,176.595,172.1,174.94,23623972
353,174.62,1543212000000,174.95,170.26,174.24,44998520
354,174.24,1543298400000,174.77,170.88,171.51,41387377
355,180.94,1543384800000,181.29,174.93,176.73,46062539
356,179.55,1543471200000,182.8,177.7,182.66,41769992
357,178.58,1543557600000,180.33,177.03,180.29,39531549
358,184.82,1543816800000,184.94,181.21,184.46,40798002
359,176.69,1543903200000,182.3899,176.27,180.95,41344282
360,174.72,1544076000000,174.78,170.42,171.76,43098410
361,168.49,1544162400000,174.49,168.3,173.49,42281631
362,169.6,1544421600000,170.09,163.33,165.0,62025994
363,168.63,1544508000000,171.79,167.0,171.66,47281665
364,169.1,1544594400000,171.92,169.02,170.4,35627674
365,170.95,1544680800000,172.57,169.55,170.49,31897827
366,165.48,1544767200000,169.08,165.28,169.0,40703710
367,163.94,1545026400000,168.35,162.73,165.45,44287922
368,166.07,1545112800000,167.53,164.39,165.38,33841518
369,160.89,1545199200000,167.45,159.09,166.0,49047297
370,156.83,1545285600000,162.11,155.3,160.4,64772960
371,150.73,1545372000000,158.16,149.63,156.86,95744384
372,146.83,1545631200000,151.55,146.59,148.15,37169232
373,157.17,1545804000000,157.23,146.72,148.3,58582544
374,156.15,1545890400000,156.77,150.07,155.84,53117065
375,156.23,1545976800000,158.52,154.55,157.5,42291424
376,157.74,1546236000000,159.36,156.48,158.53,35003466
377,157.92,1546408800000,158.85,154.23,154.89,37039737
378,142.19,1546495200000,145.72,142.0,143.98,91312195
379,148.26,1546581600000,148.5499,143.8,144.53,58607070
380,147.93,1546840800000,148.83,145.9,148.7,54777764
381,150.75,1546927200000,151.82,148.52,149.56,41025314
382,153.31,1547013600000,154.53,149.63,151.29,45099081
383,153.8,1547100000000,153.97,150.86,152.5,35780670
384,152.29,1547186400000,153.7,151.51,152.88,27023241
385,150.0,1547445600000,151.27,149.22,150.85,32439186
386,153.07,1547532000000,153.39,150.05,150.27,28710324
387,154.94,1547618400000,155.88,153.0,153.08,30569706
388,155.86,1547704800000,157.66,153.26,154.2,29821160
389,156.82,1547791200000,157.88,155.9806,157.5,33751023
390,153.3,1548136800000,156.73,152.62,156.41,30393970
391,153.92,1548223200000,155.14,151.7,154.15,23130570
392,152.7,1548309600000,154.48,151.74,154.11,25441549
393,157.76,1548396000000,158.13,154.32,155.48,33547893
394,156.3,1548655200000,156.33,153.66,155.79,26192058
